industry,City,CityID,IndustryID,cluster
 Online Audio and Video Media,Delhi,18,67,2
 Retail,Gurugram,34,81,2
 Human Resources Services,Delhi,18,41,1
 Human Resources Services,New Delhi,55,41,0
 Retail Office Equipment,New Delhi,55,84,2
 Marketing Services,Gurugram,34,57,0
 Higher Education,Noida,56,38,0
 Real Estate,Gurugram,34,77,2
 Insurance,Hyderabad,35,46,0
 Motor Vehicle Manufacturing,New Delhi,55,63,0
 Broadcast Media Production and Distribution,Noida,56,13,0
 Education Administration Programs,New Delhi,55,29,0
 Higher Education,Greater Delhi Area,29,38,1
 Staffing and Recruiting,Greater Delhi Area,29,90,2
 Wellness and Fitness Services,New Delhi,55,98,2
 Public Relations and Communications Services,New Delhi,55,76,2
 Insurance,Gurugram,34,46,0
 E-Learning Providers,New Delhi,55,26,0
 Media Production,Gurgaon,33,58,2
 Banking,Chennai,14,9,1
 Consumer Services,Greater Delhi Area,29,23,1
 Translation and Localization,Dadri,16,94,2
 Computer Games,Bengaluru,8,17,1
 Staffing and Recruiting,Dehradun,17,90,2
 Financial Services,Ahmedabad,1,34,1
 Non-profit Organizations,Hyderabad,35,65,2
 Staffing and Recruiting,Ahmedabad,1,90,2
 Advertising Services,Pune,59,1,0
 Environmental Services,Bengaluru,8,32,1
 Telecommunications,Pune,59,92,2
 Human Resources Services,Jaipur,37,41,0
 IT Services and IT Consulting,Mangaluru,48,42,0
 Software Development,Delhi,18,87,2
 Design Services,Chennai,14,25,1
 Farming,Pune,59,33,0
 Retail Apparel and Fashion,Bangalore Urban,6,82,2
 Medical Equipment Manufacturing,Pune,59,61,0
 Food and Beverage Services,Chennai,14,36,1
 IT Services and IT Consulting,Greater Kolkata Area,31,42,1
 Insurance,Bengaluru,8,46,1
 Market Research,Gurugram,34,56,0
 Building Materials,Gurugram,34,14,1
 Industrial Machinery Manufacturing,Pune,59,43,0
 Advertising Services,Ahmedabad,1,1,1
 Telecommunications,Chennai,14,92,2
 Textile Manufacturing,Bengaluru,8,93,2
 Accounting,Gurugram,34,0,1
 Travel Arrangements,Gurugram,34,96,2
 Medical Equipment Manufacturing,New Delhi,55,61,0
 Human Resources,Navi Mumbai,54,40,0
 Higher Education,Hyderabad,35,38,0
 Automation Machinery Manufacturing,Noida,56,5,0
 Government Administration,New Delhi,55,37,0
 Pharmaceutical Manufacturing,Ahmednagar,2,72,2
 Financial Services,Rajkot,62,34,0
 Wholesale Building Materials,Midnapore,49,99,2
 Business Consulting and Services,Kolkata,44,15,0
 Wholesale Chemical and Allied Products,Mumbai,51,100,2
 Motor Vehicle Manufacturing,Ahmedabad,1,63,2
 E-Learning Providers,Raipur,61,26,0
 Marketing Services,Pune,59,57,0
 Machinery Manufacturing,Gandhinagar,22,52,1
 Pharmaceutical Manufacturing,Greater Bengaluru Area,26,72,2
 IT Services and IT Consulting,Gautam Buddha Nagar,23,42,1
 Banking,Mumbai,51,9,0
 IT Services and IT Consulting,Vishakhapatnam,75,42,0
 Personal Care Product Manufacturing,Gurugram,34,71,2
 IT Services and IT Consulting,Sriperumbudur,66,42,0
 Software Development,Kochi,43,87,2
 Business Consulting and Services,Greater Kolkata Area,31,15,1
 Technology Information and Internet,Navi Mumbai,54,91,2
 Hospitals and Health Care,Bangalore Urban,6,39,1
